acronym_,expansion,id,text,fullyExpandedText
GLC,gasliquid chromatography,TS-153,microorganisms can be identified in many ways conventional methods rely on the expression of certain properties that are usually mediated directly by enzyme activity extension of this RPA to include numerical ID or automated systems to analyze results often strengthens conclusions identification of bacterial species using morphological characters and PSA tests is often difficult and time consuming immunodiagnostic and nucleotide hybridization techniques have improved sensitivity specify precision and ease of testing chemotaxonomy is also precise and can result in the definition of highly discriminatory properties cellular fatty acids cfa analyses fall into this category one of the most convenient methods for the identification of fatty acids in bacterial cells is by GLC of their methyl esters prepared from phospholipids total lipids or other lipid fractions two bacterial strains from bahar yossof alfayiurn governorates egypt tentatively identified as a species of pseudomonas by virtue of its physiological and biochemical characteristics confirmation of this identification was carried out using fatty acids profile analysis,microorganisms can be identified in many ways conventional methods rely on the expression of certain properties that are usually mediated directly by enzyme activity extension of this Approach(ERROR while looking up semantic expansion) to include numerical Item Description(ERROR while looking up semantic expansion) or automated systems to analyze results often strengthens conclusions identification of bacterial species using morphological characters and Power Spectral Analysis(ERROR while looking up semantic expansion) tests is often difficult and time consuming immunodiagnostic and nucleotide hybridization techniques have improved sensitivity specify precision and ease of testing chemotaxonomy is also precise and can result in the definition of highly discriminatory properties cellular fatty acids cfa analyses fall into this category one of the most convenient methods for the identification of fatty acids in bacterial cells is by Gasliquid Chromatographic(No additional information found for Gasliquid Chromatographic) of their methyl esters prepared from phospholipids total lipids or other lipid fractions two bacterial strains from bahar yossof alfayiurn governorates egypt tentatively identified as a species of pseudomonas by virtue of its physiological and biochemical characteristics confirmation of this identification was carried out using fatty acids profile analysis
Met,methionine,TS-154,footandmouth disease virus fmdv can use a number of integrins as receptors to initiate infection attachment to the integrin is mediated by a highly conserved RGD rgd tripeptide located on the gh loop of vp other residues of this loop are also conserved and may contribute to integrin binding in this study we have used a mer peptide whose sequence corresponds to the gh loop of vp of type o fmdv as a competitor of integrinmediated virus binding and infection alanine substitution through this peptide identified the leucines at the first and fourth positions following rgd rgd and rgd CS as key for inhibition of virus IB and infection mediated by alphavbeta or alphavbeta but not for inhibition of virus IB to alphavbeta we also show that fmdv peptides containing either Met or arginine at the rgd site which reflects the natural sequence R2 seen across the fmdv serotypes are effective inhibitors for alphavbeta in contrast although rgdmcontaining MMP were ERP for alphavbeta rgdrcontaining peptides were not these observations were confirmed by showing that a virus containing an rgdr motif uses alphavbeta less efficiently than alphavbeta as a receptor for infection finally evidence is presented that shows alphavbeta to be a poor receptor for infection by type o fmdv taken together our data suggest that the integrin binding loop of fmdv has most likely evolved for IB to alphavbeta with a higher affinity than to alphavbeta and alphavbeta,"footandmouth disease virus fmdv can use a number of integrins as receptors to initiate infection attachment to the integrin is mediated by a highly conserved NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) rgd tripeptide located on the gh loop of vp other residues of this loop are also conserved and may contribute to integrin binding in this study we have used a mer peptide whose sequence corresponds to the gh loop of vp of type o fmdv as a competitor of integrinmediated virus binding and infection alanine substitution through this peptide identified the leucines at the first and fourth positions following rgd rgd and rgd Computer Systems(['academic discipline'], Computer Systems has the following properties: ['is an instance of academic discipline']) as key for inhibition of virus Imaginary Batches(No additional information found for Imaginary Batches) and infection mediated by alphavbeta or alphavbeta but not for inhibition of virus Imaginary Batches(No additional information found for Imaginary Batches) to alphavbeta we also show that fmdv peptides containing either Met or arginine at the rgd site which reflects the natural sequence Variability(['statistical property quantifying how much a collection of data is spread out'], Variability has the following properties: ['is an instance of type of statistic']) seen across the fmdv serotypes are effective inhibitors for alphavbeta in contrast although rgdmcontaining Mitochondrial Membrane Permeabilization(['scientific article (publication date:  2007)'], Mitochondrial Membrane Permeabilization has the following properties: ['is an instance of review article']) were Effective(['album by Side Effect'], Effective has the following properties: ['is an instance of album']) for alphavbeta rgdrcontaining peptides were not these observations were confirmed by showing that a virus containing an rgdr motif uses alphavbeta less efficiently than alphavbeta as a receptor for infection finally evidence is presented that shows alphavbeta to be a poor receptor for infection by type o fmdv taken together our data suggest that the integrin binding loop of fmdv has most likely evolved for Imaginary Batches(No additional information found for Imaginary Batches) to alphavbeta with a higher affinity than to alphavbeta and alphavbeta"
MMs,malignant melanomas,TS-155,it may soon be possible to prevent MMs metastasising according to researchers in australia,it may soon be possible to prevent MMs metastasising according to researchers in australia
IEC,information embedding cost,TS-156,"By the quadratic regression , we found the error ratio and the IEC scores are highly correlated with the a R - square 0.9265 ( Table .","By the quadratic regression , we found the error ratio and the Information Embedding Cost(No additional information found for Information Embedding Cost) scores are highly correlated with the a R - square 0.9265 ( Table ."
BPD,biparietal diameter,TS-157,this study was undertaken to evaluate the role of doppler velocimetry combined with intertwin differences in ultrasonographically derived estimated fetal weight BPD abdominal circumference and femur length as a comprehensive test for the prediction of discordancy the following cutoff values were used to indicate abnormal test results delta biparietal diameter greater than mm delta ABD circumference greater than mm delta femur length greater than mm delta estimated fetal weight greater than and delta S/D ratio greater than discordancy was identified when the birth weight difference exceeded the study population consisted of consecutively evaluated thirdtrimester twin gestations eighteen sets of twins were discordant none of these tests was uniformally successful in identifying twin discordancy in three instances all test results were normal the DA provided by ultrasonography was not significantly different from that provided by doppler velocimetry overall the best predictor appeared to be the presence of either delta systolicdiastolic ratio greater than or delta estimated fetal weights greater than which correctly identified of the discordant twins and misclassified only five of the concordant pairs this combination also had the highest positive and negative predictive values and respectively,"this study was undertaken to evaluate the role of doppler velocimetry combined with intertwin differences in ultrasonographically derived estimated fetal weight Baseband Phase Difference(No additional information found for Baseband Phase Difference) abdominal circumference and femur length as a comprehensive test for the prediction of discordancy the following cutoff values were used to indicate abnormal test results delta biparietal diameter greater than mm delta Abdominal(['bacterial infectious disorder contracted by consumption of food or drink contaminated with Salmonella typhi. This disorder is common in developing countries and can be treated with antibiotics.'], Abdominal has the following properties: ['is an instance of infectious disease', 'is different from typhus']) circumference greater than mm delta femur length greater than mm delta estimated fetal weight greater than and delta S/D ratio greater than discordancy was identified when the birth weight difference exceeded the study population consisted of consecutively evaluated thirdtrimester twin gestations eighteen sets of twins were discordant none of these tests was uniformally successful in identifying twin discordancy in three instances all test results were normal the Denoised Auto - Encoder(No additional information found for Denoised Auto - Encoder) provided by ultrasonography was not significantly different from that provided by doppler velocimetry overall the best predictor appeared to be the presence of either delta systolicdiastolic ratio greater than or delta estimated fetal weights greater than which correctly identified of the discordant twins and misclassified only five of the concordant pairs this combination also had the highest positive and negative predictive values and respectively"
SP,strictly piecewise,TS-158,"SL and SP classes encode local and long - distance dependencies , respectively .","Strictly Local(['scientific article published on 01 July 1988'], Strictly Local has the following properties: ['is an instance of scholarly article']) and Strictly Piecewise(No additional information found for Strictly Piecewise) classes encode local and long - distance dependencies , respectively ."
AE,autoencoder,TS-159,"Importantly , for small dimensions of the latent space ( e.g. smaller than 16 ) , RMSE obtained with DAE decreases much faster than with PCA and AE .","Importantly , for small dimensions of the latent space ( e.g. smaller than 16 ) , NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) obtained with NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) decreases much faster than with Principal Component Analysis(['conversion of a set of observations of possibly correlated variables into a set of values of linearly uncorrelated variables called principal components'], Principal Component Analysis has the following properties: ['is an instance of statistical method', 'has use dimensionality reduction']) and Autoencoder(['neural network that learns efficient data encoding in an unsupervised manner'], Autoencoder has the following properties: ['is an instance of lossy compression', 'has use data compression', 'is different from Autocoder']) ."
RF,radio frequency,TS-160,"RF waves can not penetrate through flood waters , whereas the light wave can .","Random Forest(['statistical algorithm that is used to cluster points of data in functional groups'], Random Forest has the following properties: ['is an instance of algorithm', 'is a part of ensemble learning']) waves can not penetrate through flood waters , whereas the light wave can ."
DBN,deep belief network,TS-161,Assume a DBN consists of hidden layer and the parameters of each layer by .,Assume a Deep Belief Network(['type of artificial neural network']) consists of hidden layer and the parameters of each layer by .
RNN,random neural networks,TS-162,"The RNN is composed of four input nodes , seven hidden nodes and one output node .","The Recurrent Neural Network(ERROR while looking up semantic expansion) is composed of four input nodes , seven hidden nodes and one output node ."
IR,information retrieval,TS-163,bendersky:09 were the first to study the effects of segmentation from an IR perspective .,bendersky:09 were the first to study the effects of segmentation from an Imbalance Ratio(No additional information found for Imbalance Ratio) perspective .
DPA,diphenylamine,TS-164,the impurity in commercial diphenylamine which induces polycystic kidney disease in rats has been identified as nnntriphenylpphenylenediamine the structure of the compound was confirmed by mass and proton magnetic resonance spectrometry and by comparison with a synthetic standard prepared by the ullman coupling of iodobenzene and pphenylenediamine or nndiphenylpphenylenediamine laboratory studies with HP DPA indicated that nnntriphenylpphenylenediamine can be formed by heating DPA,"the impurity in commercial diphenylamine which induces polycystic kidney disease in rats has been identified as nnntriphenylpphenylenediamine the structure of the compound was confirmed by mass and proton magnetic resonance spectrometry and by comparison with a synthetic standard prepared by the ullman coupling of iodobenzene and pphenylenediamine or nndiphenylpphenylenediamine laboratory studies with High Prr(No additional information found for High Prr) Dipicolinic Acid(['chemical compound'], Dipicolinic Acid has the following properties: ['is an instance of chemical compound']) indicated that nnntriphenylpphenylenediamine can be formed by heating Dipicolinic Acid(['chemical compound'], Dipicolinic Acid has the following properties: ['is an instance of chemical compound'])"
VR,virtual reality,TS-165,"Currently , the video technology field is evolving toward providing immersive VR experiences using 360 video streaming .","Currently , the video technology field is evolving toward providing immersive Virtual Reality(['computer-simulated environment simulating physical presence in real or imagined worlds'], Virtual Reality has the following properties: ['is a part of virtual universe', 'has use science', 'is different from augmented reality']) experiences using 360 video streaming ."
TEC,triethyl citrate,TS-166,CAP cap free films containing diethyl phthalate dep or TEC tec as the plasticizer were prepared by the spray method the chemical and mechanical properties of films were compared following heatonly degrees c for h and heathumidity curing degrees cre to generate a plan as seen in patients with FC abnormalities or a failure to execute a plan as observed in parkinson patients who suffer primarily from striatal CA could explain perseveration in schizophrenia the aim of the present T0 was to distinguish between these two cognitive dysfunctions which are described by frith in his routestoaction MM the main difference between these dysfunctions is the ability to use external guidance in the present study schizophrenic patients and HCs were assessed with the california verbal learning test cvlt and the wcst in which use of external guidance can be measured and with the PANSS panss to determine the relationship with symptomatology the results showed that half of the schizophrenic patients showed perseveration which could be explained by a failure to generate a plan and was related to the psychomotor poverty subsyndrome no evidence was found for a failure to execute a plan type of AP medication used atypical vs typical proved not relevant the results are discussed in the CS of evidence for involvement of the dorsolateral prefrontal cortex in perseveration in schizophrenia,"Consistency Availability Partition(No additional information found for Consistency Availability Partition) cap free films containing diethyl phthalate dep or Triethyl Citrate(['chemical compound'], Triethyl Citrate has the following properties: ['is an instance of chemical compound']) tec as the plasticizer were prepared by the spray method the chemical and mechanical properties of films were compared following heatonly degrees c for h and heathumidity curing degrees cre to generate a plan as seen in patients with Fully Connected(ERROR while looking up semantic expansion) abnormalities or a failure to execute a plan as observed in parkinson patients who suffer primarily from striatal Corresponding Arcs(No additional information found for Corresponding Arcs) could explain perseveration in schizophrenia the aim of the present Study(['instrumental musical composition, usually short, designed to provide practice material for perfecting a particular musical skill'], Study has the following properties: ['is an instance of musical form', 'is different from Étude']) was to distinguish between these two cognitive dysfunctions which are described by frith in his routestoaction Mathematical Model(ERROR while looking up semantic expansion) the main difference between these dysfunctions is the ability to use external guidance in the present study schizophrenic patients and HCs were assessed with the california verbal learning test cvlt and the wcst in which use of external guidance can be measured and with the Positive And Negative Syndrome Scale(ERROR while looking up semantic expansion) panss to determine the relationship with symptomatology the results showed that half of the schizophrenic patients showed perseveration which could be explained by a failure to generate a plan and was related to the psychomotor poverty subsyndrome no evidence was found for a failure to execute a plan type of Average Precision(No additional information found for Average Precision) medication used atypical vs typical proved not relevant the results are discussed in the Computer Systems(['academic discipline'], Computer Systems has the following properties: ['is an instance of academic discipline']) of evidence for involvement of the dorsolateral prefrontal cortex in perseveration in schizophrenia"
OCM,original component manufacturers,TS-167,The key value is only available to the OCM and IP owner .,"The key value is only available to the Oz Computation Model(No additional information found for Oz Computation Model) and Intellectual Property(['ownership of ideas and processes'], Intellectual Property has the following properties: ['is different from intellectual property law']) owner ."
LP,linear programming,TS-168,The maximally violated inequality can be found by optimizing the following separation MILP model : Maximize : subject to : where and are fractional values for all variables of an LP solution for a general problem fixed in the MILP .,The maximally violated inequality can be found by optimizing the following separation NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) model : Maximize : subject to : where and are fractional values for all variables of an Linear Programming(['programming method to achieve the best outcome in a mathematical model']) solution for a general problem fixed in the NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) .
CNL,controlled natural language,TS-169,"The oldest CNL , Basic English , is also the most influential one .","The oldest Controlled Natural Language(['subset of a natural language']) , Basic English , is also the most influential one ."
AR,augmented reality,TS-170,"The prototype introduces a light - field - based approach to near - eye displays and can be seen as a next generation wearable display technology for AR as existing hardware ca ""nt"" provide accurate acommodation .","The prototype introduces a light - field - based approach to near - eye displays and can be seen as a next generation wearable display technology for Auto - Regression(No additional information found for Auto - Regression) as existing hardware ca ""nt"" provide accurate acommodation ."
dpc,days postcoitus,TS-171,the snairelated proteins are zincfinger transcription factors that play important roles in cellfate determination we previously cloned a novel snairelated gene known as snailrelated transcription factor of muscle cells smuc or more recently as snail homologue snai in the present T0 we investigated the PET roles of smuc using in FISH at various stages of mouse OD smuc was ND until dpc dpc its expression was observed in the skeletal muscles and thymus at and dpc respectively and these remained the major CS of smuc expression until postnatal day no smuc expression was observed in the heart large vessels lungs liver kidney or BB these results indicate that smuc might be involved in the morphogenesis of the skeletal muscles and thymus at a relatively late stage of mouse OD,"the snairelated proteins are zincfinger transcription factors that play important roles in cellfate determination we previously cloned a novel snairelated gene known as snailrelated transcription factor of muscle cells smuc or more recently as snail homologue snai in the present Study(['instrumental musical composition, usually short, designed to provide practice material for perfecting a particular musical skill'], Study has the following properties: ['is an instance of musical form', 'is different from Étude']) we investigated the Functional(['mapping from a mathematical space to the real or complex numbers'], Functional has the following properties: ['is different from linear functional']) roles of smuc using in NO EXPANSION FOUNadh Dehydrogenase(['class of enzymes'], Nadh Dehydrogenase has the following properties: ['is an instance of group or class of enzymes', 'is different from NADH dehydrogenase (quinone)'])(No additional information found for NO EXPANSION FOUND) at various stages of mouse Outer Diameter(['scientific article published on 31 August 2012'], Outer Diameter has the following properties: ['is an instance of scholarly article']) smuc was ND until dpc dpc its expression was observed in the skeletal muscles and thymus at and dpc respectively and these remained the major Computer Systems(ERROR while looking up semantic expansion) of smuc expression until postnatal day no smuc expression was observed in the heart large vessels lungs liver kidney or Bromobenzene(ERROR while looking up semantic expansion) these results indicate that smuc might be involved in the morphogenesis of the skeletal muscles and thymus at a relatively late stage of mouse Outer Diameter(ERROR while looking up semantic expansion)"
CNN,convolutional neural network,TS-172,"In the past few years , an approach involving the extraction of multiple candidate regions of objects using region proposals as typified by R - CNN , then making a classification decision with candidate regions using classifiers has also been reported * girshick2014rich .","In the past few years , an approach involving the extraction of multiple candidate regions of objects using region proposals as typified by R - Convolutional Neural Network(ERROR while looking up semantic expansion) , then making a classification decision with candidate regions using classifiers has also been reported * girshick2014rich ."
SSI,subspace system identification,TS-173,This yields a variant of SSI which focuses on preserving the model fitting aspects .,This yields a variant of Subspace System Identification(No additional information found for Subspace System Identification) which focuses on preserving the model fitting aspects .
PC,point cloud,TS-174,"In order to find out where the problem was , we superimposed the LIDAR PC to the camera - based PC , by exploiting the poses of the two sensors the vehicle , an example can be seen in fig : lasercameradisallineamento .","In order to find out where the problem was , we superimposed the NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) Program Counter(['processor register that indicates the location in memory of the currently-executing instruction in the binary code of a program'], Program Counter has the following properties: ['is different from personal computer']) to the camera - based Program Counter(['processor register that indicates the location in memory of the currently-executing instruction in the binary code of a program'], Program Counter has the following properties: ['is different from personal computer']) , by exploiting the poses of the two sensors the vehicle , an example can be seen in fig : lasercameradisallineamento ."
NC,node classification,TS-175,"To our knowledge , this is the first study to use smartphone , wearable sensor , and survey data in an HIN model and use RS or NC on the HIN to predict individuals """" mental health conditions .","To our knowledge , this is the first study to use smartphone , wearable sensor , and survey data in an NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) model and use Running Sum(No additional information found for Running Sum) or Network Coding([], Network Coding has the following properties: ['is an instance of scholarly article']) on the NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) to predict individuals """" mental health conditions ."
MBR,minimum bandwidth regenerating,TS-176,"By the first condition of Exact - MBR encoding matrix , the can be reconstructed from arbitrary elements in .","By the first condition of Exact - Minimum Bandwidth Regenerating(No additional information found for Minimum Bandwidth Regenerating) encoding matrix , the can be reconstructed from arbitrary elements in ."
MSE,mean squared error,TS-177,"We use MSE to heuristically determine the conditions , on which the hybrid approach overtakes the method and also the method .","We use Mean Squared Error(['Average of the squares of the errors between estimated and actual values'], Mean Squared Error has the following properties: ['is an instance of measure of forecasting quality', 'is different from root-mean-square deviation']) to heuristically determine the conditions , on which the hybrid approach overtakes the method and also the method ."
RL,reinforcement learning,TS-178,"In contrast , we incorporate imitation learning within an RL framework to further improve both the cross - target and the cross - scene generalization capability of a navigation agent .","In contrast , we incorporate imitation learning within an Reinforcement Learning(['field of machine learning'], Reinforcement Learning has the following properties: ['is a part of machine learning']) framework to further improve both the cross - target and the cross - scene generalization capability of a navigation agent ."
IV,initialization vector,TS-179,These included : the usage of the ECB mode for encryption ; the usage of a non - random IV for CBC encryption ; and the usage of constant encryption keys .,"These included : the usage of the NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) mode for encryption ; the usage of a non - random Initialization Vector(['fixed-size input to a cryptographic primitive that is typically required to be random or pseudorandom']) for Contralateral Breast Cancer(['scientific article'], Contralateral Breast Cancer has the following properties: ['is an instance of scholarly article']) encryption ; and the usage of constant encryption keys ."
ABC,artificial bee colony,TS-180,ABC terminates by full - filling the condition or iteration is completed .,"Artificial Bee Colony(['optimization algorithm based on the intelligent foraging behaviour of honey bee swarm'], Artificial Bee Colony has the following properties: ['is an instance of algorithm']) terminates by full - filling the condition or iteration is completed ."
WF,weighted fusion,TS-181,"Weighted Fusion ( WF)The WF scheme ( Figure ) is based on aggregating ( by average pooling ) the frame - level features of a real sequence separately from the frame - level features of the corresponding generated sequence of canonical poses , in order to exploit the complementarity of their contributions .","Weighted Fusion ( White Females(ERROR while looking up semantic expansion))The WF scheme ( Figure ) is based on aggregating ( by average pooling ) the frame - level features of a real sequence separately from the frame - level features of the corresponding generated sequence of canonical poses , in order to exploit the complementarity of their contributions ."
IR,information retrieval,TS-182,"IR performance was measured , and terms used for RF compared to those which had proven to be helpful as extension words .","Imbalance Ratio(No additional information found for Imbalance Ratio) performance was measured , and terms used for Random Forest(['statistical algorithm that is used to cluster points of data in functional groups'], Random Forest has the following properties: ['is an instance of algorithm', 'is a part of ensemble learning']) compared to those which had proven to be helpful as extension words ."
TG,training group,TS-183,the purpose of this T0 was to determine whether there were differences in vertical jump height and lower body SP production gains between complex and compound training programs a AA purpose was to determine whether differences in gains were observed at a faster rate between complex and compound training programs thirtyone collegeaged club volleyball players men and women were assigned into either a complex TG or a compound TG based on gender and pretraining performance measures both groups trained twice per week for weeks work was equated between the CG complex training alternated between resistance and plyometric exercises on each training day whereas compound training consisted of resistance training on one day and plyometric training on the other our analyses showed significant improvements in vertical jump height in both training groups after only weeks of training p vertical jump height increased by approximately and in the complex and compound training groups respectively however neither group improved significantly better than the other nor did either group experience faster gains in vertical leap or power SO the results of this T0 suggest that performing a minimum of weeks of either complex or compound training is ERP for improving vertical jump height and SP SO thus coaches should choose the program which best suits their training schedules,"the purpose of this Study(ERROR while looking up semantic expansion) was to determine whether there were differences in vertical jump height and lower body Strictly Piecewise(No additional information found for Strictly Piecewise) production gains between complex and compound training programs a Astronomy And Astrophysics(['scientific journal covering theoretical, observational, and instrumental astronomy and astrophysics'], Astronomy And Astrophysics has the following properties: ['is an instance of scientific journal']) purpose was to determine whether differences in gains were observed at a faster rate between complex and compound training programs thirtyone collegeaged club volleyball players men and women were assigned into either a complex Training Group(ERROR while looking up semantic expansion) or a compound Training Group(ERROR while looking up semantic expansion) based on gender and pretraining performance measures both groups trained twice per week for weeks work was equated between the Conjugate Gradient(ERROR while looking up semantic expansion) complex training alternated between resistance and plyometric exercises on each training day whereas compound training consisted of resistance training on one day and plyometric training on the other our analyses showed significant improvements in vertical jump height in both training groups after only weeks of training p vertical jump height increased by approximately and in the complex and compound training groups respectively however neither group improved significantly better than the other nor did either group experience faster gains in vertical leap or power Smart Object(ERROR while looking up semantic expansion) the results of this Study(ERROR while looking up semantic expansion) suggest that performing a minimum of weeks of either complex or compound training is Effective(ERROR while looking up semantic expansion) for improving vertical jump height and Strictly Piecewise(No additional information found for Strictly Piecewise) Sphincter Of Oddi(['A muscular valve present in humans  to control the flow of digestive juices'], Sphincter Of Oddi has the following properties: ['is an instance of class of anatomical entity']) thus coaches should choose the program which best suits their training schedules"
FE,fractional excretion,TS-184,the renal phosphate pi transport system matures during the rd postnatal wk in the rat by an increase in the carrier affinity for sodiumcotransported phosphate this T0 examines the ability of pups to adapt their renal pi transport to the dietary phosphorus content during this period of carrier affinity maturation corresponding to the weaning period in the rat clearance experiments and brush border membrane studies were performed on dold rats weaned early on d onto a low phosphate diet lpd g g a normal phosphate diet control g g or a high phosphate diet hpd g g in lpd rats the pi FE was lower than in controls p it remained very low in lpd rats versus in controls p after pi perfusion mumolmin g and the reabsorbed pi per min corrected for the glomerular filtration rate was higher than in the two other groups the calcium FE in the lpd rats was much higher than in the controls p in contrast hpd rats had an elevated pi FE p whereas reabsorbed phosphate per min QTc for the glomerular filtration rate was not increased by a pi loadabstract truncated at words,the renal phosphate pi transport system matures during the rd postnatal wk in the rat by an increase in the carrier affinity for sodiumcotransported phosphate this Study(ERROR while looking up semantic expansion) examines the ability of pups to adapt their renal pi transport to the dietary phosphorus content during this period of carrier affinity maturation corresponding to the weaning period in the rat clearance experiments and brush border membrane studies were performed on dold rats weaned early on d onto a low phosphate diet lpd g g a normal phosphate diet control g g or a high phosphate diet hpd g g in lpd rats the pi Fire Emblem(ERROR while looking up semantic expansion) was lower than in controls p it remained very low in lpd rats versus in controls p after pi perfusion mumolmin g and the reabsorbed pi per min corrected for the glomerular filtration rate was higher than in the two other groups the calcium Fire Emblem(ERROR while looking up semantic expansion) in the lpd rats was much higher than in the controls p in contrast hpd rats had an elevated pi Fire Emblem(ERROR while looking up semantic expansion) p whereas reabsorbed phosphate per min QTc for the glomerular filtration rate was not increased by a pi loadabstract truncated at words
ACP,acyl carrier protein,TS-185,iterative type i polyketide synthases pks are megaenzymes essential to the biosynthesis of an enormously diverse array of bioactive NK products each pks contains minimally three functional domains Î²ketosynthase ks acyltransferase at and ACP acp and a subset of reducing domains such as ketoreductase kr dehydratase dh and enoylreductase er the substrate selection condensation reactions and Î²keto processing of the polyketide growing chain are highly controlled in a programmed manner however the structural features and mechanistic rules that orchestrate the iterative cycles processing domains functionality and chain termination in this kind of megaenzymes are often poorly understood here we present a biochemical and PET characterization of the ks and the at domains of a pks from the mallard duck anas platyrhynchos appks appks belongs to an animal pks family phylogenetically more related to bacterial pks than to metazoan fatty acid synthases through the dissection of the appks enzyme into mono to didomain fragments and its reconstitution in vitro we determined its substrate specificity toward different starters and extender units appks at domain can effectively transfer acetylcoa and malonylcoa to the appks acp standalone domain furthermore the ks and kr domains in the presence of escherichia coli acp acetylcoa and malonylcoa showed the ability to catalyze the chain elongation and the Î²keto reduction steps necessary to yield a hydroxybutyrylacp derivate these results provide new insights into the catalytic efficiency and specificity of this uncharacterized family of pkss,iterative type i polyketide synthases pks are megaenzymes essential to the biosynthesis of an enormously diverse array of bioactive Natural Killing(ERROR while looking up semantic expansion) products each pks contains minimally three functional domains Î²ketosynthase ks acyltransferase at and American College Of Physicians(ERROR while looking up semantic expansion) acp and a subset of reducing domains such as ketoreductase kr dehydratase dh and enoylreductase er the substrate selection condensation reactions and Î²keto processing of the polyketide growing chain are highly controlled in a programmed manner however the structural features and mechanistic rules that orchestrate the iterative cycles processing domains functionality and chain termination in this kind of megaenzymes are often poorly understood here we present a biochemical and Functional(ERROR while looking up semantic expansion) characterization of the ks and the at domains of a pks from the mallard duck anas platyrhynchos appks appks belongs to an animal pks family phylogenetically more related to bacterial pks than to metazoan fatty acid synthases through the dissection of the appks enzyme into mono to didomain fragments and its reconstitution in vitro we determined its substrate specificity toward different starters and extender units appks at domain can effectively transfer acetylcoa and malonylcoa to the appks acp standalone domain furthermore the ks and kr domains in the presence of escherichia coli acp acetylcoa and malonylcoa showed the ability to catalyze the chain elongation and the Î²keto reduction steps necessary to yield a hydroxybutyrylacp derivate these results provide new insights into the catalytic efficiency and specificity of this uncharacterized family of pkss
SWD,sliced wasserstein distance,TS-186,"As such , our SWD numbers should not be compared to those from other papers , but are still appropriate to compare results of our own experiments .","As such , our Sliced Wasserstein Distance(No additional information found for Sliced Wasserstein Distance) numbers should not be compared to those from other papers , but are still appropriate to compare results of our own experiments ."
CHL,conductive hearing loss,TS-187,sensory deprivation during OD induces lifelong changes to CE NS CF that are associated with perceptual impairments however the relationship between neural and behavioral deficits is uncertain due to a lack of simultaneous measurements during task performance therefore we telemetrically recorded from AEP SC SN in gerbils reared with developmental CHL as they performed an auditory task in which rapid fluctuations in amplitude are detected these data were compared to a measure of AEP brainstem temporal processing from each animal we found that developmental hl diminished behavioral performance but did not alter BS temporal processing however the simultaneous assessment of neural and behavioral processing revealed that perceptual deficits were associated with a degraded cortical population code that could be explained by greater trialtotrial response R2 our findings suggest that the perceptual limitations that attend early hearing loss are best explained by an encoding deficit in auditory cortex,"sensory deprivation during Outer Diameter(['scientific article published on 31 August 2012'], Outer Diameter has the following properties: ['is an instance of scholarly article']) induces lifelong changes to Cross Entropy(ERROR while looking up semantic expansion) Network Science(ERROR while looking up semantic expansion) Collaborative Filtering(ERROR while looking up semantic expansion) that are associated with perceptual impairments however the relationship between neural and behavioral deficits is uncertain due to a lack of simultaneous measurements during task performance therefore we telemetrically recorded from Artificial Endocrine Pancreas(ERROR while looking up semantic expansion) Sleep Cassette(No additional information found for Sleep Cassette) Secondary Node(['scientific article published on 12 October 2017'], Secondary Node has the following properties: ['is an instance of scholarly article']) in gerbils reared with developmental Conductive Hearing Loss(ERROR while looking up semantic expansion) as they performed an auditory task in which rapid fluctuations in amplitude are detected these data were compared to a measure of Artificial Endocrine Pancreas(ERROR while looking up semantic expansion) brainstem temporal processing from each animal we found that developmental hl diminished behavioral performance but did not alter Base Station(ERROR while looking up semantic expansion) temporal processing however the simultaneous assessment of neural and behavioral processing revealed that perceptual deficits were associated with a degraded cortical population code that could be explained by greater trialtotrial response Variability(ERROR while looking up semantic expansion) our findings suggest that the perceptual limitations that attend early hearing loss are best explained by an encoding deficit in auditory cortex"
